Location,Year,"Total Healthcare Workers per 10,000 Population",Indicator,Gender,Value
Singapore,2014,78.05199999999999,Life expectancy at birth (years),Both sexes,82.6
Singapore,2013,82.756,Life expectancy at birth (years),Both sexes,82.37
Singapore,2012,80.267,Life expectancy at birth (years),Both sexes,82.22
Singapore,2011,75.921,Life expectancy at birth (years),Both sexes,81.96
Singapore,2010,80.85900000000001,Life expectancy at birth (years),Both sexes,81.76
Singapore,2009,76.309,Life expectancy at birth (years),Both sexes,81.58
Singapore,2008,72.35799999999999,Life expectancy at birth (years),Both sexes,80.98
Singapore,2007,69.807,Life expectancy at birth (years),Both sexes,80.58
Singapore,2006,68.20700000000001,Life expectancy at birth (years),Both sexes,80.98
Singapore,2005,67.951,Life expectancy at birth (years),Both sexes,80.54
Singapore,2004,66.354,Life expectancy at birth (years),Both sexes,80.34
Singapore,2003,20.732,Life expectancy at birth (years),Both sexes,79.61
Singapore,2002,14.434,Life expectancy at birth (years),Both sexes,79.34
Singapore,2001,61.991,Life expectancy at birth (years),Both sexes,79.14
Singapore,2000,13.758,Life expectancy at birth (years),Both sexes,78.52
Thailand,2020,9.276,Life expectancy at birth (years),Both sexes,76.51
Thailand,2019,48.464,Life expectancy at birth (years),Both sexes,76.92
Thailand,2018,42.45400000000001,Life expectancy at birth (years),Both sexes,77.15
Thailand,2017,42.461000000000006,Life expectancy at birth (years),Both sexes,77.23
Thailand,2016,38.075,Life expectancy at birth (years),Both sexes,77.0
Thailand,2015,29.435999999999996,Life expectancy at birth (years),Both sexes,76.97
Thailand,2010,27.171000000000003,Life expectancy at birth (years),Both sexes,75.29
Thailand,2009,22.232,Life expectancy at birth (years),Both sexes,75.05
Thailand,2008,21.485999999999997,Life expectancy at birth (years),Both sexes,74.46
Thailand,2007,20.650999999999996,Life expectancy at birth (years),Both sexes,73.94
Thailand,2006,20.707,Life expectancy at birth (years),Both sexes,73.41
Thailand,2004,19.471000000000004,Life expectancy at birth (years),Both sexes,72.04
Thailand,2002,17.982,Life expectancy at birth (years),Both sexes,71.71
Thailand,2001,16.993000000000002,Life expectancy at birth (years),Both sexes,71.73
